profile_id,skill,aggression,skill_intermediate,skill_plate,skill_road_course,skill_short,skill_superspeedway,call_offset_hex,profile_id_const_index,skill_const_index,aggression_const_index,skill_intermediate_const_index,skill_plate_const_index,skill_road_course_const_index,skill_short_const_index,skill_superspeedway_const_index,profile_id_load_offset_hex,skill_load_offset_hex,aggression_load_offset_hex,skill_intermediate_load_offset_hex,skill_plate_load_offset_hex,skill_road_course_load_offset_hex,skill_short_load_offset_hex,skill_superspeedway_load_offset_hex
3228,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0x8E2,174,175,176,176,176,176,176,176,0x8CA,0x8CD,0x8D0,0x8D3,0x8D6,0x8D9,0x8DC,0x8DF
3229,0.392,0.5,0.4,0.71,0.31,0.37,0.31,0x906,177,178,176,179,180,181,182,181,0x8EE,0x8F1,0x8F4,0x8F7,0x8FA,0x8FD,0x900,0x903
3230,0.724,0.6,0.62,0.69,0.65,0.7,0.63,0x92A,183,184,185,186,187,188,189,190,0x912,0x915,0x918,0x91B,0x91E,0x921,0x924,0x927
3231,0.867,0.9,0.89,0.94,0.94,0.91,0.91,0x94E,191,192,193,194,195,195,196,196,0x936,0x939,0x93C,0x93F,0x942,0x945,0x948,0x94B
3232,0.672,0.5,0.84,0.67,0.39,0.67,0.83,0x972,197,198,176,199,200,201,200,202,0x95A,0x95D,0x960,0x963,0x966,0x969,0x96C,0x96F
3233,0.487,0.6,0.57,0.74,0.25,0.51,0.55,0x996,203,204,185,205,206,207,208,209,0x97E,0x981,0x984,0x987,0x98A,0x98D,0x990,0x993
3234,0.156,0.7,0.1,0.34,0.64,0.16,0.12,0x9BA,210,211,189,212,213,214,215,216,0x9A2,0x9A5,0x9A8,0x9AB,0x9AE,0x9B1,0x9B4,0x9B7
3235,0.844,0.6,0.95,0.84,0.66,0.88,0.95,0x9DE,217,218,185,219,199,220,221,219,0x9C6,0x9C9,0x9CC,0x9CF,0x9D2,0x9D5,0x9D8,0x9DB
3236,0.823,0.7,0.92,0.87,0.78,1.0,0.91,0xA02,222,223,189,224,225,226,175,196,0x9EA,0x9ED,0x9F0,0x9F3,0x9F6,0x9F9,0x9FC,0x9FF
3237,0.85,0.8,0.99,0.81,0.91,0.92,0.99,0xA26,227,228,229,230,231,196,224,230,0xA0E,0xA11,0xA14,0xA17,0xA1A,0xA1D,0xA20,0xA23
3238,0.089,0.4,1.0,1.0,1.0,1.0,1.0,0xA4A,232,233,179,175,175,175,175,175,0xA32,0xA35,0xA38,0xA3B,0xA3E,0xA41,0xA44,0xA47
3239,0.95,0.8,0.96,1.0,0.98,0.87,0.98,0xA6E,234,219,229,235,175,236,225,236,0xA56,0xA59,0xA5C,0xA5F,0xA62,0xA65,0xA68,0xA6B
3240,0.868,0.6,1.0,0.95,0.95,0.89,0.99,0xA92,237,238,185,175,219,219,194,230,0xA7A,0xA7D,0xA80,0xA83,0xA86,0xA89,0xA8C,0xA8F
