class,uid,assigned_type,assigned_key,call_offset,UID,Skill,Aggression,SkillIntermediate,SkillPlate,SkillRoadCourse,SkillShort,SkillSuperSpeedway
AIRACEDRIVERPROFILE_c,3228,,3228,0x8E2,3228,1.0,0.5,0.5,0.5,0.5,0.5,0.5
AIRACEDRIVERPROFILE_c,3229,,3229,0x906,3229,0.392,0.5,0.4,0.71,0.31,0.37,0.31
AIRACEDRIVERPROFILE_c,3230,,3230,0x92A,3230,0.724,0.6,0.62,0.69,0.65,0.7,0.63
AIRACEDRIVERPROFILE_c,3231,,3231,0x94E,3231,0.867,0.9,0.89,0.94,0.94,0.91,0.91
AIRACEDRIVERPROFILE_c,3232,,3232,0x972,3232,0.672,0.5,0.84,0.67,0.39,0.67,0.83
AIRACEDRIVERPROFILE_c,3233,,3233,0x996,3233,0.487,0.6,0.57,0.74,0.25,0.51,0.55
AIRACEDRIVERPROFILE_c,3234,,3234,0x9BA,3234,0.156,0.7,0.1,0.34,0.64,0.16,0.12
AIRACEDRIVERPROFILE_c,3235,,3235,0x9DE,3235,0.844,0.6,0.95,0.84,0.66,0.88,0.95
AIRACEDRIVERPROFILE_c,3236,,3236,0xA02,3236,0.823,0.7,0.92,0.87,0.78,1.0,0.91
AIRACEDRIVERPROFILE_c,3237,,3237,0xA26,3237,0.85,0.8,0.99,0.81,0.91,0.92,0.99
AIRACEDRIVERPROFILE_c,3238,,3238,0xA4A,3238,0.089,0.4,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,3239,,3239,0xA6E,3239,0.95,0.8,0.96,1.0,0.98,0.87,0.98
AIRACEDRIVERPROFILE_c,3240,,3240,0xA92,3240,0.868,0.6,1.0,0.95,0.95,0.89,0.99
AIRACEDRIVERPROFILE_c,3241,,3241,0xAB6,3241,1.0,0.6,1.0,1.0,0.85,0.98,1.0
AIRACEDRIVERPROFILE_c,3242,,3242,0xADA,3242,0.855,0.8,0.96,0.92,0.99,1.0,1.0
AIRACEDRIVERPROFILE_c,3243,,3243,0xAFE,3243,0.386,0.5,0.41,0.66,0.36,0.22,0.34
AIRACEDRIVERPROFILE_c,3244,,3244,0xB22,3244,0.718,0.7,0.86,0.9,0.56,0.79,0.75
AIRACEDRIVERPROFILE_c,3245,,3245,0xB46,3245,0.972,0.6,0.95,0.97,0.95,0.98,0.95
AIRACEDRIVERPROFILE_c,3246,,3246,0xB6A,3246,0.882,0.8,0.9,0.94,0.78,0.97,0.93
AIRACEDRIVERPROFILE_c,3247,,3247,0xB8E,3247,0.627,0.5,0.7,0.96,0.61,0.67,0.77
AIRACEDRIVERPROFILE_c,3248,,3248,0xBB2,3248,0.881,0.7,0.92,0.98,0.95,0.9,0.94
AIRACEDRIVERPROFILE_c,3249,,3249,0xBD6,3249,0.208,0.4,0.13,0.33,0.13,0.2,0.22
AIRACEDRIVERPROFILE_c,3250,,3250,0xBFA,3250,0.204,0.3,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,3251,,3251,0xC1E,3251,0.079,0.4,0.01,0.05,0.05,0.04,0.08
AIRACEDRIVERPROFILE_c,3252,,3252,0xC42,3252,0.198,0.3,0.16,0.48,0.32,0.23,0.17
AIRACEDRIVERPROFILE_c,3253,,3253,0xC66,3253,0.754,0.8,0.84,0.56,0.6,0.9,0.85
AIRACEDRIVERPROFILE_c,3254,,3254,0xC8A,3254,0.836,0.9,0.6,0.82,0.98,0.71,0.78
AIRACEDRIVERPROFILE_c,3255,,3255,0xCAE,3255,0.635,0.8,0.75,0.7,0.9,0.76,0.74
AIRACEDRIVERPROFILE_c,3256,,3256,0xCD2,3256,0.528,0.9,0.85,0.85,1.0,0.72,0.84
AIRACEDRIVERPROFILE_c,3257,,3257,0xCF6,3257,1.0,0.8,1.0,1.0,0.97,1.0,1.0
AIRACEDRIVERPROFILE_c,3258,,3258,0xD1A,3258,0.056,0.3,0.04,0.1,0.07,0.08,0.07
AIRACEDRIVERPROFILE_c,3259,,3259,0xD3E,3259,0.873,0.5,0.94,0.92,0.85,0.9,0.95
AIRACEDRIVERPROFILE_c,3260,,3260,0xD62,3260,0.058,0.3,0.11,0.29,0.14,0.21,0.14
AIRACEDRIVERPROFILE_c,3261,,3261,0xD86,3261,0.451,0.5,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,3262,,3262,0xDAA,3262,0.353,0.5,0.46,0.76,0.3,0.51,0.5
AIRACEDRIVERPROFILE_c,3263,,3263,0xDCE,3263,0.391,0.8,0.29,0.63,0.26,0.18,0.33
AIRACEDRIVERPROFILE_c,3264,,3264,0xDF2,3264,0.07,0.3,0.02,0.12,0.0,0.03,0.07
AIRACEDRIVERPROFILE_c,3265,,3265,0xE16,3265,0.837,0.6,0.99,1.0,0.73,0.92,1.0
AIRACEDRIVERPROFILE_c,3266,,3266,0xE3A,3266,0.514,0.5,0.6,0.88,0.45,0.52,0.64
AIRACEDRIVERPROFILE_c,3267,,3267,0xE5E,3267,0.738,0.8,0.93,1.0,0.74,0.93,0.92
AIRACEDRIVERPROFILE_c,3354,,3354,0xE82,3354,0.024,0.0,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,3355,,3355,0xEA6,3355,0.7,0.7,0.58,0.77,0.35,0.45,0.55
AIRACEDRIVERPROFILE_c,3356,,3356,0xECA,3356,0.114,0.4,0.17,0.57,0.26,0.15,0.24
AIRACEDRIVERPROFILE_c,3357,,3357,0xEEE,3357,0.546,0.0,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,3358,,3358,0xF12,3358,0.312,0.4,0.28,0.3,0.16,0.14,0.39
AIRACEDRIVERPROFILE_c,3359,,3359,0xF36,3359,0.201,0.5,0.06,0.18,0.13,0.16,0.13
AIRACEDRIVERPROFILE_c,3360,,3360,0xF5A,3360,0.277,0.5,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,3361,,3361,0xF7E,3361,0.221,0.3,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,3362,,3362,0xFA2,3362,0.217,0.3,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,3363,,3363,0xFC6,3363,0.053,0.0,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,3364,,3364,0xFEA,3364,0.392,0.0,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,3365,,3365,0x100E,3365,0.241,0.3,0.22,0.71,0.18,0.32,0.25
AIRACEDRIVERPROFILE_c,3366,,3366,0x1032,3366,0.074,0.0,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,3367,,3367,0x1056,3367,0.227,0.0,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,3368,,3368,0x107A,3368,0.053,0.3,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,3369,,3369,0x109E,3369,0.208,0.0,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,3370,,3370,0x10C2,3370,0.1,0.3,0.05,0.07,0.06,0.04,0.07
AIRACEDRIVERPROFILE_c,3371,,3371,0x10E6,3371,0.034,0.0,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,3372,,3372,0x110A,3372,0.353,0.6,0.2,0.2,0.2,0.2,0.2
AIRACEDRIVERPROFILE_c,3373,,3373,0x112E,3373,0.055,0.0,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,3374,,3374,0x1152,3374,0.0,0.0,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,3375,,3375,0x1176,3375,0.249,0.4,0.26,0.49,0.33,0.33,0.26
AIRACEDRIVERPROFILE_c,3376,,3376,0x119A,3376,0.184,0.0,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,3377,,3377,0x11BE,3377,0.237,0.4,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,3378,,3378,0x11E2,3378,0.305,0.5,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,3379,,3379,0x1206,3379,0.75,0.9,0.81,0.64,0.75,0.89,0.8
AIRACEDRIVERPROFILE_c,3380,,3380,0x122A,3380,0.655,0.0,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,3381,,3381,0x124E,3381,0.315,0.0,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,6920,,6920,0x1272,6920,0.003,0.3,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,6921,,6921,0x1296,6921,0.643,0.3,0.65,0.9,0.37,0.4,0.65
AIRACEDRIVERPROFILE_c,6922,,6922,0x12BA,6922,0.147,0.8,0.25,0.91,0.35,0.21,0.25
AIRACEDRIVERPROFILE_c,6923,,6923,0x12DE,6923,0.003,0.3,0.2,0.2,0.2,0.2,0.2
AIRACEDRIVERPROFILE_c,12391,,12391,0x1302,12391,0.7,0.5,0.79,0.51,0.36,0.78,0.79
AIRACEDRIVERPROFILE_c,12392,,12392,0x1326,12392,0.5,0.5,0.05,0.07,0.0,0.0,0.07
AIRACEDRIVERPROFILE_c,13107,,13107,0x134A,13107,0.5,0.3,0.79,0.9,0.7,0.7,0.79
AIRACEDRIVERPROFILE_c,18354,,18354,0x136E,18354,0.7,0.8,0.67,0.9,0.55,0.7,0.7
AIRACEDRIVERPROFILE_c,23214,,23214,0x1392,23214,0.7,0.8,0.67,0.9,0.55,0.7,0.7
AIRACEDRIVERPROFILE_c,23215,,23215,0x13B6,23215,0.7,0.8,0.67,0.9,0.55,0.7,0.7
AIRACEDRIVERPROFILE_c,23216,,23216,0x13DA,23216,0.198,0.3,0.16,0.48,0.32,0.23,0.17
AIRACEDRIVERPROFILE_c,23217,,23217,0x13FE,23217,0.058,0.3,0.11,0.29,0.14,0.21,0.14
AIRACEDRIVERPROFILE_c,23218,,23218,0x1422,23218,0.386,0.5,0.41,0.66,0.36,0.22,0.34
AIRACEDRIVERPROFILE_c,23219,,23219,0x1446,23219,0.07,0.3,0.02,0.12,0.0,0.03,0.07
