class,uid,assigned_type,assigned_key,call_offset,UID,FormationOffsetDirection,TurnOneBearsLeft,UsePenaltySystem,BumpDraftingEnabled,BumpDraftingConsiderGearing,PABBMaxInflationZ,BumpDraftingMaxPackSize,BumpDraftingRoadStraightness,CatchupWantSpeedModifierEasy,CatchupWantSpeedModifierHard,UseDrivingControllerSmoothing,PacecarIgnorePitEntryTripwire,HasDoubleYellowLine,BumpdraftPlayerRoadStraightness,PitStrategy100PitChance,PitStrategy100FuelOnlyChance,PitStrategy100TwoTyresChance,PitStrategy100FourTyresChance,PitStrategy75PitChance,PitStrategy75FuelOnlyChance,PitStrategy75TwoTyresChance,PitStrategy75FourTyresChance,PitStrategy50PitChance,PitStrategy50FuelOnlyChance,PitStrategy50TwoTyresChance,PitStrategy50FourTyresChance,PitStrategy25PitChance,PitStrategy25FuelOnlyChance,PitStrategy25TwoTyresChance,PitStrategy25FourTyresChance,PitStrategy0FuelOnlyChance,PitStrategy0TwoTyresChance,PitStrategy0FourTyresChance,PitStrategy0PitChance,CanSwitchFromStagnantRacingLine,StayBehindRegionScaled,StateMachineWeightingOvertake,StateMachineWeightingBumpDraft,StayAlongsideGap,StayBehindRegion,ThrottleLiftToleranceDeg,CatchupPowModifier
AIRACINGTRACKCONFIG_c,2583,,2583,0x1563,2583,-1,True,False,False,False,"PABBMaxInflationZ_c(1.0, 1.0)",2,"BumpDraftingRoadStraightness_c(0.99, 0.97)","CatchupWantSpeedModifierEasy_c(0.87, 0.88)","CatchupWantSpeedModifierHard_c(0.99, 1.0)",True,False,False,"BumpdraftPlayerRoadStraightness_c(0.99, 0.97)",0.0,0.1,0.2,0.7,0.2,0.0,0.2,0.8,0.8,0.0,0.1,0.9,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,False,0.5,1,1,1.0,0.5,5.0,1.0
AIRACINGTRACKCONFIG_c,2584,,2584,0x162C,2584,1,False,True,False,False,"PABBMaxInflationZ_c(10.0, 10.0)",2,"BumpDraftingRoadStraightness_c(0.99, 0.97)","CatchupWantSpeedModifierEasy_c(0.72, 0.76)","CatchupWantSpeedModifierHard_c(0.94, 1.0)",True,False,False,"BumpdraftPlayerRoadStraightness_c(0.99, 0.97)",0.05,0.5,0.05,0.45,0.4,0.25,0.05,0.7,0.9,0.0,0.05,0.95,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,False,1.0,1,1,1.0,3.0,5.0,1.0
AIRACINGTRACKCONFIG_c,2799,,2799,0x16F5,2799,1,True,False,False,False,"PABBMaxInflationZ_c(1.0, 1.0)",2,"BumpDraftingRoadStraightness_c(0.99, 0.97)","CatchupWantSpeedModifierEasy_c(0.76, 0.78)","CatchupWantSpeedModifierHard_c(0.93, 1.0)",True,False,False,"BumpdraftPlayerRoadStraightness_c(0.99, 0.97)",0.0,0.05,0.65,0.3,0.4,0.05,0.35,0.65,0.9,0.0,0.05,0.95,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,False,0.5,5,1,1.0,0.5,5.0,1.0
AIRACINGTRACKCONFIG_c,2800,,2800,0x17BE,2800,1,True,False,False,False,"PABBMaxInflationZ_c(1.0, 1.0)",2,"BumpDraftingRoadStraightness_c(0.99, 0.97)","CatchupWantSpeedModifierEasy_c(0.75, 0.77)","CatchupWantSpeedModifierHard_c(0.925, 1.0)",True,False,False,"BumpdraftPlayerRoadStraightness_c(0.99, 0.97)",0.0,0.05,0.65,0.3,0.2,0.0,0.25,0.75,0.8,0.0,0.05,0.95,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,False,0.5,5,1,1.0,0.5,5.0,1.0
AIRACINGTRACKCONFIG_c,2801,,2801,0x1887,2801,1,True,False,True,False,"PABBMaxInflationZ_c(1.0, 1.0)",2,"BumpDraftingRoadStraightness_c(0.98, 0.98)","CatchupWantSpeedModifierEasy_c(0.83, 0.85)","CatchupWantSpeedModifierHard_c(0.9985, 1.0)",True,False,True,"BumpdraftPlayerRoadStraightness_c(0.98, 0.98)",0.0,0.75,0.2,0.05,0.4,0.6,0.3,0.1,0.8,0.25,0.45,0.3,1.0,0.05,0.25,0.7,0.0,0.1,0.9,1.0,True,0.5,1,3,1.0,0.5,5.0,1.0
AIRACINGTRACKCONFIG_c,4010,,4010,0x1950,4010,1,True,False,False,False,"PABBMaxInflationZ_c(1.0, 1.0)",2,"BumpDraftingRoadStraightness_c(0.99, 0.97)","CatchupWantSpeedModifierEasy_c(0.76, 0.79)","CatchupWantSpeedModifierHard_c(0.95, 1.0)",True,False,False,"BumpdraftPlayerRoadStraightness_c(0.99, 0.97)",0.0,0.05,0.65,0.3,0.4,0.0,0.25,0.75,0.9,0.0,0.05,0.95,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,False,0.5,5,1,1.0,0.5,5.0,1.0
AIRACINGTRACKCONFIG_c,6885,,6885,0x1A19,6885,-1,True,True,False,False,"PABBMaxInflationZ_c(10.0, 10.0)",2,"BumpDraftingRoadStraightness_c(0.99, 0.97)","CatchupWantSpeedModifierEasy_c(0.74, 0.77)","CatchupWantSpeedModifierHard_c(0.93, 1.0)",True,True,False,"BumpdraftPlayerRoadStraightness_c(0.99, 0.97)",0.05,0.5,0.05,0.45,0.4,0.25,0.05,0.7,0.9,0.0,0.05,0.95,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,False,1.0,10,1,1.0,5.0,5.0,1.0
AIRACINGTRACKCONFIG_c,6924,,6924,0x1AE2,6924,-1,True,False,True,True,"PABBMaxInflationZ_c(1.0, 1.0)",2,"BumpDraftingRoadStraightness_c(0.99, 0.97)","CatchupWantSpeedModifierEasy_c(0.75, 0.79)","CatchupWantSpeedModifierHard_c(0.955, 1.0)",True,False,False,"BumpdraftPlayerRoadStraightness_c(0.99, 0.97)",0.0,0.05,0.65,0.3,0.4,0.0,0.25,0.75,0.9,0.0,0.05,0.95,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,False,0.5,5,1,1.0,0.5,5.0,1.0
AIRACINGTRACKCONFIG_c,6925,,6925,0x1BAB,6925,-1,True,False,True,False,"PABBMaxInflationZ_c(1.0, 1.0)",2,"BumpDraftingRoadStraightness_c(0.98, 0.98)","CatchupWantSpeedModifierEasy_c(0.83, 0.85)","CatchupWantSpeedModifierHard_c(0.9985, 1.0)",True,False,True,"BumpdraftPlayerRoadStraightness_c(0.98, 0.98)",0.75,0.1,0.2,0.05,0.4,0.6,0.4,0.1,0.8,0.25,0.45,0.3,0.8,0.05,0.25,0.7,0.0,0.1,0.9,1.0,True,0.5,1,3,1.0,0.5,5.0,1.0
AIRACINGTRACKCONFIG_c,6926,,6926,0x1C74,6926,-1,True,False,True,True,"PABBMaxInflationZ_c(1.0, 1.0)",2,"BumpDraftingRoadStraightness_c(0.99, 0.97)","CatchupWantSpeedModifierEasy_c(0.74, 0.76)","CatchupWantSpeedModifierHard_c(0.94, 1.0)",True,False,False,"BumpdraftPlayerRoadStraightness_c(0.99, 0.97)",0.0,0.15,0.6,0.25,0.4,0.0,0.45,0.55,0.9,0.0,0.15,0.85,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,False,0.5,5,1,1.0,0.5,5.0,1.0
