class,uid,assigned_type,assigned_key,call_offset,UID,DRIVER,NUMBER,TEAM,Livery,Pin,InteriorConfig,DriverImages,Selectable,AIDriverProfile,Series,BaseArcName,LastWonSprintCup
DRIVERCONFIG_c,2407,,2407,0x17527,2407,"DRIVER_c(2382, S_DRIVER_CUSTOM_CHEVROLET, None, True, True, , 129106177, False, False)","DRIVERNUMBER_c(2443, W:\NAS3\Hud\NEW\numbers\53-CHEVROLET_01.tga, 35_CUSTOMCHEVROLET)","RACETEAM_c(2403, S_TEAM_CUSTOM_CHEVROLET, None, )",None,"DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(2381, 1, None, None)",DRIVERPORTRAIT_c(7481),False,AIRACEDRIVERPROFILE_c(3228),"RACESERIES_c(6955, S_SERIES_SPRINT_CUP, 6956, [], [], 2011, True, None)",CUSTOMCHEVROLET,129106177
DRIVERCONFIG_c,2408,,2408,0x1755A,2408,"DRIVER_c(2383, S_DRIVER_CUSTOM_DODGE, None, True, True, , 129106177, False, False)","DRIVERNUMBER_c(2444, W:\NAS3\Hud\NEW\numbers\50-DODGE.tga, 50_CUSTOMDODGE)","RACETEAM_c(2404, S_TEAM_CUSTOM_DODGE, None, )",None,"DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(2381, 1, None, None)",DRIVERPORTRAIT_c(7482),False,AIRACEDRIVERPROFILE_c(3228),"RACESERIES_c(6955, S_SERIES_SPRINT_CUP, 6956, [], [], 2011, True, None)",CUSTOMDODGE,129106177
DRIVERCONFIG_c,2409,,2409,0x1758D,2409,"DRIVER_c(2384, S_DRIVER_CUSTOM_FORD, None, True, True, , 129106177, False, False)","DRIVERNUMBER_c(2445, W:\NAS3\Hud\NEW\numbers\62-FORD.tga, 62_CUSTOMFORD)","RACETEAM_c(2405, S_TEAM_CUSTOM_FORD, None, )",None,"DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(2381, 1, None, None)",DRIVERPORTRAIT_c(7483),False,AIRACEDRIVERPROFILE_c(3228),"RACESERIES_c(6955, S_SERIES_SPRINT_CUP, 6956, [], [], 2011, True, None)",CUSTOMFORD,129106177
DRIVERCONFIG_c,2410,,2410,0x175C0,2410,"DRIVER_c(2385, S_DRIVER_CUSTOM_TOYOTA, None, True, True, , 129106177, False, False)","DRIVERNUMBER_c(2446, W:\NAS3\Hud\NEW\numbers\76-TOYOTA.tga, 76_CUSTOMTOYOTA)","RACETEAM_c(2406, S_TEAM_CUSTOM_TOYOTA, None, )",None,"DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(2381, 1, None, None)",DRIVERPORTRAIT_c(7484),False,AIRACEDRIVERPROFILE_c(3228),"RACESERIES_c(6955, S_SERIES_SPRINT_CUP, 6956, [], [], 2011, True, None)",CUSTOMTOYOTA,129106177
DRIVERCONFIG_c,2492,,2492,0x175F3,2492,"DRIVER_c(2491, S_DEFAULT_PLAYER_NAME, None, True, True, , 129106177, False, False)","DRIVERNUMBER_c(2493, W:\NAS3\Hud\NEW\numbers\53-CHEVROLET_01.tga, 35_CUSTOMGENERIC)","RACETEAM_c(2495, S_DEFAULT_TEAM_NAME, None, )","LIVERIE_c(12602, TELEMETRYCHEVROLET, BaseColour_c(0, 0, 180), S_LIV_PRIMARY, None, False, False, None, None, False, None, False, 131858689, , -1)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(2381, 1, None, None)",DRIVERPORTRAIT_c(7485),True,AIRACEDRIVERPROFILE_c(3228),"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, [], [], 2012, True, None)",CUSTOMGENERIC,129106177
DRIVERCONFIG_c,6411,,6411,0x17626,6411,None,None,None,None,"DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)",None,None,False,AIRACEDRIVERPROFILE_c(3228),"RACESERIES_c(6955, S_SERIES_SPRINT_CUP, 6956, [], [], 2011, True, None)",HALLOFFAME,129106177
DRIVERCONFIG_c,6412,,6412,0x17659,6412,None,None,None,None,"DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)",None,None,False,AIRACEDRIVERPROFILE_c(3228),"RACESERIES_c(6955, S_SERIES_SPRINT_CUP, 6956, [], [], 2011, True, None)",NASCARDOTCOM,129106177
DRIVERCONFIG_c,7743,,7743,0x1768C,7743,None,None,None,None,"DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)",None,None,False,AIRACEDRIVERPROFILE_c(3228),"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, [], [], 2012, True, None)",ROUSHYATES,129106177
DRIVERCONFIG_c,12597,,12597,0x176BF,12597,"DRIVER_c(12601, S_DRIVER_TITLE, None, True, True, , 129106177, False, False)","DRIVERNUMBER_c(12606, W:\NAS3\Hud\2012\numbers\0_placeholder.tga, 0_TELEMETRYDRIVER)","RACETEAM_c(2403, S_TEAM_CUSTOM_CHEVROLET, None, )","LIVERIE_c(12602, TELEMETRYCHEVROLET, BaseColour_c(0, 0, 180), S_LIV_PRIMARY, None, False, False, None, None, False, None, False, 131858689, , -1)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(12419, 1, None, None)",DRIVERPORTRAIT_c(7481),False,AIRACEDRIVERPROFILE_c(3228),"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, [], [], 2012, True, None)",TELEMETRYCHEVROLET,129106177
DRIVERCONFIG_c,12598,,12598,0x176F2,12598,"DRIVER_c(12608, S_DRIVER_TITLE, None, True, True, , 129106177, False, False)","DRIVERNUMBER_c(12606, W:\NAS3\Hud\2012\numbers\0_placeholder.tga, 0_TELEMETRYDRIVER)","RACETEAM_c(2404, S_TEAM_CUSTOM_DODGE, None, )","LIVERIE_c(12603, TELEMETRYDODGE, BaseColour_c(0, 0, 180), S_LIV_PRIMARY, None, False, False, None, None, False, None, False, 131858689, , -1)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(12420, 1, None, None)",DRIVERPORTRAIT_c(7482),False,AIRACEDRIVERPROFILE_c(3228),"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, [], [], 2012, True, None)",TELEMETRYDODGE,129106177
