class,uid,assigned_type,assigned_key,call_offset,UID,RaceSeries,RaceType,RaceStart,RaceRoute,RaceCar,RaceLaps,NumDrivers,ID,RaceEvent,EventName,GridOrder,DamageMode,NumberInSeries,RaceRosterOverride,RaceTrophy,TelemetryEventData,RaceDate,WearAndTear,EventSchedule,MinTrackTemp,MaxTrackTemp,MinAmbientTemp,MaxAmbientTemp,QualifyingLaps,IntroCutscene,AltAdvertising,FakeRaceData,RaceRosterOverride2,RaceRosterOverride3,InfieldOverride,UseDifficultyOverride,OverrideDiff_Easy,OverrideDiff_Hard,DifficultyPercentage
RACEDATA_c,1253,,1253,0x20CB,1253,"RACESERIES_c(1080, S_SERIES_SPRINT_CUP, 1194, [], [], 2010, True, None)","RACETYPE_c(1165, 1166)","RACESTARTTYPE_c(1171, 1172)","RACEROUTETYPE_c(1175, 1176)","CUSTOMCAR_c(7533, 7534)",2,1,1254,"EVENT_c(1460, cr000, S_WORLD_DOVER, dover, None)",S_BLANK,"GRIDORDER_c(1717, QUALIFIED, 43)",FULL,-1,[],None,None,131072257,1,[],10.0,40.0,15.0,30.0,2,,False,False,[],[],None,False,"OverrideDiff_Easy_c(0.0, 1.0)","OverrideDiff_Hard_c(0.0, 1.0)",0.5
RACEDATA_c,3414,,3414,0x2158,3414,"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, [], [], 2012, True, None)","RACETYPE_c(3412, 3413)","RACESTARTTYPE_c(1171, 1172)","RACEROUTETYPE_c(1175, 1176)","CUSTOMCAR_c(7533, 7534)",5,1,3415,"EVENT_c(5419, cr000, S_WORLD_KENTUCKY, Kentucky, None)",S_IVT_SOLO_THUNDER,"GRIDORDER_c(1717, QUALIFIED, 43)",COSMETIC,-1,[],None,None,131859996,1,[],10.0,40.0,15.0,30.0,2,,False,False,[],[],None,False,"OverrideDiff_Easy_c(0.0, 1.0)","OverrideDiff_Hard_c(0.0, 1.0)",0.5
RACEDATA_c,3603,,3603,0x21E5,3603,"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, [], [], 2012, True, None)","RACETYPE_c(3412, 3413)","RACESTARTTYPE_c(1171, 1172)","RACEROUTETYPE_c(1175, 1176)","CUSTOMCAR_c(7533, 7534)",5,1,3604,"EVENT_c(1226, cr000, S_WORLD_CHICAGOLAND, chicagoland, None)",S_IVT_SOLO_THUNDER,"GRIDORDER_c(1717, QUALIFIED, 43)",COSMETIC,-1,[],None,None,131860749,1,[],10.0,40.0,15.0,30.0,2,,False,False,[],[],None,False,"OverrideDiff_Easy_c(0.0, 1.0)","OverrideDiff_Hard_c(0.0, 1.0)",0.5
RACEDATA_c,3608,,3608,0x2272,3608,"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, [], [], 2012, True, None)","RACETYPE_c(3606, 3607)","RACESTARTTYPE_c(1171, 1172)","RACEROUTETYPE_c(1175, 1176)","CUSTOMCAR_c(7533, 7534)",4,43,3609,"EVENT_c(1210, cr000, S_WORLD_POCONO, pocono, None)",S_IVT_GAUNTLET,"GRIDORDER_c(1717, QUALIFIED, 43)",COSMETIC,-1,[],None,None,131859736,1,[],10.0,40.0,15.0,30.0,2,,False,False,[],[],None,False,"OverrideDiff_Easy_c(0.0, 1.0)","OverrideDiff_Hard_c(0.0, 1.0)",0.5
RACEDATA_c,3651,,3651,0x22FF,3651,"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, [], [], 2012, True, None)","RACETYPE_c(3646, 3647)","RACESTARTTYPE_c(1171, 1172)","RACEROUTETYPE_c(1175, 1176)","CUSTOMCAR_c(7533, 7534)",10,43,3652,"EVENT_c(1050, cr000, S_EVENT_AUTOCLUB, autoclub, None)",,"GRIDORDER_c(3657, SERIES_STANDINGS, 43)",FULL,-1,[],None,None,131072257,1,[],10.0,40.0,15.0,30.0,2,,False,False,[],[],None,False,"OverrideDiff_Easy_c(0.0, 1.0)","OverrideDiff_Hard_c(0.0, 1.0)",0.5
RACEDATA_c,5351,,5351,0x238C,5351,"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, [], [], 2012, True, None)","RACETYPE_c(1785, 1786)","RACESTARTTYPE_c(1171, 1172)","RACEROUTETYPE_c(1175, 1176)","CUSTOMCAR_c(7533, 7534)",2,10,5352,"EVENT_c(1050, cr000, S_EVENT_AUTOCLUB, autoclub, None)",S_ETN_ELIMINATOR,"GRIDORDER_c(1724, PREDEFINED, 30)",FULL,-1,[],None,None,131859222,1,[],10.0,40.0,15.0,30.0,2,,False,False,"[DRIVERCONFIG_c(18327, None, None, None, None, None, None, None, False, None, None, 2013_HORNISHJR, 129106177)]",[],None,False,"OverrideDiff_Easy_c(0.86, 0.89)","OverrideDiff_Hard_c(0.94, 1.0)",0.5
RACEDATA_c,5357,,5357,0x2419,5357,"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, [], [], 2012, True, None)","RACETYPE_c(1785, 1786)","RACESTARTTYPE_c(1171, 1172)","RACEROUTETYPE_c(1175, 1176)","CUSTOMCAR_c(7533, 7534)",2,10,5358,"EVENT_c(1860, cr000, S_EVENT_BRISTOL_NIGHT, bristol, None)",S_ETN_ELIMINATOR,"GRIDORDER_c(1724, PREDEFINED, 30)",FULL,-1,"[DRIVERCONFIG_c(18312, None, None, None, None, None, None, None, False, None, None, 2013_NEMECHEK, 129106177)]",None,None,131860503,1,[],10.0,40.0,15.0,30.0,2,,False,False,[],[],None,False,"OverrideDiff_Easy_c(0.81, 0.86)","OverrideDiff_Hard_c(0.94, 1.0)",0.5
RACEDATA_c,5359,,5359,0x24A6,5359,"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, [], [], 2012, True, None)","RACETYPE_c(3606, 3607)","RACESTARTTYPE_c(1171, 1172)","RACEROUTETYPE_c(1175, 1176)","CUSTOMCAR_c(7533, 7534)",4,43,5360,"EVENT_c(5413, cr000, S_EVENT_DAYTONA_NIGHT, daytona, None)",S_IVT_GAUNTLET,"GRIDORDER_c(1717, QUALIFIED, 43)",COSMETIC,-1,[],None,None,131860228,1,[],10.0,40.0,15.0,30.0,2,,False,False,[],[],None,False,"OverrideDiff_Easy_c(0.0, 1.0)","OverrideDiff_Hard_c(0.0, 1.0)",0.5
RACEDATA_c,5381,,5381,0x2533,5381,"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, [], [], 2012, True, None)","RACETYPE_c(1785, 1786)","RACESTARTTYPE_c(1171, 1172)","RACEROUTETYPE_c(1175, 1176)","CUSTOMCAR_c(7533, 7534)",2,10,5382,"EVENT_c(2524, cr000, S_WORLD_KANSAS_CITY, Kansas, None)",S_ETN_ELIMINATOR,"GRIDORDER_c(1724, PREDEFINED, 30)",FULL,-1,[],None,None,131861010,1,[],10.0,40.0,15.0,30.0,2,,False,False,[],[],None,False,"OverrideDiff_Easy_c(0.82, 0.88)","OverrideDiff_Hard_c(0.925, 1.0)",0.5
RACEDATA_c,5385,,5385,0x25C0,5385,"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, [], [], 2012, True, None)","RACETYPE_c(3412, 3413)","RACESTARTTYPE_c(1171, 1172)","RACEROUTETYPE_c(1175, 1176)","CUSTOMCAR_c(7533, 7534)",5,1,5386,"EVENT_c(1659, cr000, S_EVENT_PHOENIX_DAY, phoenix, None)",S_IVT_SOLO_THUNDER,"GRIDORDER_c(1717, QUALIFIED, 43)",COSMETIC,-1,[],None,None,131861256,1,[],10.0,40.0,15.0,30.0,2,,False,False,[],[],None,False,"OverrideDiff_Easy_c(0.0, 1.0)","OverrideDiff_Hard_c(0.0, 1.0)",0.5
