class,uid,assigned_type,assigned_key,call_offset,UID,Name,NumBlocks,Sky,PhysicsOverride,TyreGripInner,TyreGripOuter,EngineHeatingScale,CareerPhysicsOverride
TRACK_c,1000,,1000,0xCD81,1000,Daytona,4,"SKY_c(2825, DaytonaMidday, DaytonaMidday, 0)",,1.0,1.0,0.6,
TRACK_c,1032,,1032,0xCDA8,1032,Infineon,4,"SKY_c(2697, InfineonMidday, InfineonMidday, 0)",,1.0,1.0,1.0,
TRACK_c,1044,,1044,0xCDCF,1044,WatkinsGlen,4,"SKY_c(1952, WatkinsGlenMidday, WatkinsGlenMidday, 0)",,1.0,1.0,0.75,
TRACK_c,1049,,1049,0xCDF6,1049,AutoClub,4,"SKY_c(2701, AutoClubSpeedMidday, AutoClubSpeedMidday, 0)",,0.99,1.05,1.15,
TRACK_c,1209,,1209,0xCE1D,1209,Pocono,4,"SKY_c(4009, PoconoMidday, PoconoMidday, 0)",,1.0,1.03,1.1,
TRACK_c,1223,,1223,0xCE44,1223,Chicagoland,4,"SKY_c(12574, ChicagoLandMidday, ChicagoLandMidday, 0)",,0.95,0.98,1.0,
TRACK_c,1248,,1248,0xCE6B,1248,Indianapolis,4,"SKY_c(5997, IndianapolisMidday, IndianapolisMidday, 0)",,1.0,1.05,1.0,
TRACK_c,1457,,1457,0xCE92,1457,Dover,4,"SKY_c(1541, Parab, Parab, 0)",,0.98,1.02,1.2,
TRACK_c,1526,,1526,0xCEB9,1526,Lowes,4,"SKY_c(11239, Lowes, Lowes, 0)",,0.96,1.01,1.0,
TRACK_c,1626,,1626,0xCEE0,1626,Homestead,4,"SKY_c(1777, HomesteadMidday, HomesteadMidday, 0)",,1.0,1.03,0.95,
TRACK_c,1630,,1630,0xCF07,1630,Darlington,4,"SKY_c(11227, DarlingtonMidday, DarlingtonMidday, 0)",,0.98,1.0,0.95,
TRACK_c,1634,,1634,0xCF2E,1634,Richmond,4,"SKY_c(9348, RichmondMidday, RichmondMidday, 0)",,0.95,0.98,1.35,
TRACK_c,1656,,1656,0xCF55,1656,Phoenix,4,"SKY_c(2531, PhoenixMidday, PhoenixMidday, 0)",,0.98,1.0,1.25,
TRACK_c,1668,,1668,0xCF7C,1668,Martinsville,4,"SKY_c(1951, MartinsvilleMidday, MartinsvilleMidday, 0)",,0.98,0.98,0.4,
