class,uid,assigned_type,assigned_key,call_offset,UID,EventType,EventNumber,PracticeSessionNumber,TrackOverride,TrackTempStart,TrackTempEnd,AltAdvertising,ForcedCautions
WEEKENDEVENT_c,8429,,8429,0xF5FE,8429,"RACETYPE_c(1161, 1162)",1,1,None,27.0,32.0,False,
WEEKENDEVENT_c,8430,,8430,0xF625,8430,"RACETYPE_c(1161, 1162)",2,2,None,30.0,35.0,False,
WEEKENDEVENT_c,8431,,8431,0xF64C,8431,"RACETYPE_c(1163, 1164)",3,-1,None,28.0,36.0,False,
WEEKENDEVENT_c,8432,,8432,0xF673,8432,"RACETYPE_c(1165, 1166)",4,-1,None,35.0,27.0,False,
WEEKENDEVENT_c,8433,,8433,0xF69A,8433,"RACETYPE_c(1161, 1162)",1,1,None,27.0,32.0,False,
WEEKENDEVENT_c,8434,,8434,0xF6C1,8434,"RACETYPE_c(1163, 1164)",2,-1,None,31.0,34.0,False,
WEEKENDEVENT_c,8435,,8435,0xF6E8,8435,"RACETYPE_c(1161, 1162)",3,2,None,22.0,28.0,False,
WEEKENDEVENT_c,8436,,8436,0xF70F,8436,"RACETYPE_c(1165, 1166)",4,-1,None,30.0,35.0,False,
WEEKENDEVENT_c,8442,,8442,0xF736,8442,"RACETYPE_c(1161, 1162)",1,1,None,18.0,24.0,False,
WEEKENDEVENT_c,8443,,8443,0xF75D,8443,"RACETYPE_c(1163, 1164)",2,-1,None,24.0,29.0,False,
WEEKENDEVENT_c,8444,,8444,0xF784,8444,"RACETYPE_c(1161, 1162)",3,2,None,22.0,27.0,False,
WEEKENDEVENT_c,8445,,8445,0xF7AB,8445,"RACETYPE_c(1161, 1162)",4,3,None,25.0,30.0,False,
WEEKENDEVENT_c,8446,,8446,0xF7D2,8446,"RACETYPE_c(1165, 1166)",5,-1,None,22.0,32.0,False,
WEEKENDEVENT_c,8447,,8447,0xF7F9,8447,"RACETYPE_c(1161, 1162)",1,1,None,27.0,33.0,False,
WEEKENDEVENT_c,8448,,8448,0xF820,8448,"RACETYPE_c(1163, 1164)",2,-1,None,28.0,34.0,False,
WEEKENDEVENT_c,8449,,8449,0xF847,8449,"RACETYPE_c(1161, 1162)",3,2,None,22.0,27.0,False,
WEEKENDEVENT_c,8450,,8450,0xF86E,8450,"RACETYPE_c(1161, 1162)",4,3,None,26.0,33.0,False,
WEEKENDEVENT_c,8451,,8451,0xF895,8451,"RACETYPE_c(1165, 1166)",5,-1,None,26.0,33.0,False,
WEEKENDEVENT_c,8452,,8452,0xF8BC,8452,"RACETYPE_c(1161, 1162)",1,1,None,21.0,27.0,False,
WEEKENDEVENT_c,8453,,8453,0xF8E3,8453,"RACETYPE_c(1161, 1162)",2,2,None,24.0,29.0,False,
WEEKENDEVENT_c,8454,,8454,0xF90A,8454,"RACETYPE_c(1163, 1164)",3,-1,None,24.0,29.0,False,
WEEKENDEVENT_c,8455,,8455,0xF931,8455,"RACETYPE_c(1165, 1166)",4,-1,None,23.0,29.0,False,
WEEKENDEVENT_c,8456,,8456,0xF958,8456,"RACETYPE_c(1161, 1162)",1,1,"WORLDSCRIPT_c(2438, 2439, S_WORLD_TEXAS, 24.0, 1.5, None, S_WORLD_LOC_TEXAS, None, False, 27, 46, 112552, 130876421, [], 27.787, None, S_DRIVER_C_EDWARDS, S_DRIVER_M_KENSETH, S_DRIVER_K_BUSCH_02, S_DRIVER_G_BIFFLE, False, 19.0, 27.0, 196.299, 160.577, 78, False, None, S_TH_KENSETH_JOHNSON, [], 31.856, 15.0, 32.0, 35.485, 30.003, 0.98, Texas)",27.0,34.0,False,
WEEKENDEVENT_c,8457,,8457,0xF97F,8457,"RACETYPE_c(1161, 1162)",2,2,"WORLDSCRIPT_c(2438, 2439, S_WORLD_TEXAS, 24.0, 1.5, None, S_WORLD_LOC_TEXAS, None, False, 27, 46, 112552, 130876421, [], 27.787, None, S_DRIVER_C_EDWARDS, S_DRIVER_M_KENSETH, S_DRIVER_K_BUSCH_02, S_DRIVER_G_BIFFLE, False, 19.0, 27.0, 196.299, 160.577, 78, False, None, S_TH_KENSETH_JOHNSON, [], 31.856, 15.0, 32.0, 35.485, 30.003, 0.98, Texas)",29.0,35.0,False,
WEEKENDEVENT_c,8458,,8458,0xF9A6,8458,"RACETYPE_c(1163, 1164)",3,-1,"WORLDSCRIPT_c(2438, 2439, S_WORLD_TEXAS, 24.0, 1.5, None, S_WORLD_LOC_TEXAS, None, False, 27, 46, 112552, 130876421, [], 27.787, None, S_DRIVER_C_EDWARDS, S_DRIVER_M_KENSETH, S_DRIVER_K_BUSCH_02, S_DRIVER_G_BIFFLE, False, 19.0, 27.0, 196.299, 160.577, 78, False, None, S_TH_KENSETH_JOHNSON, [], 31.856, 15.0, 32.0, 35.485, 30.003, 0.98, Texas)",27.0,33.0,False,
WEEKENDEVENT_c,8459,,8459,0xF9CD,8459,"RACETYPE_c(1165, 1166)",5,-1,None,29.0,23.0,False,
WEEKENDEVENT_c,8464,,8464,0xF9F4,8464,"RACETYPE_c(1161, 1162)",1,1,None,26.0,31.0,False,
WEEKENDEVENT_c,8465,,8465,0xFA1B,8465,"RACETYPE_c(1161, 1162)",2,2,None,27.0,32.0,False,
WEEKENDEVENT_c,8466,,8466,0xFA42,8466,"RACETYPE_c(1163, 1164)",3,-1,None,28.0,32.0,False,
WEEKENDEVENT_c,8467,,8467,0xFA69,8467,"RACETYPE_c(1165, 1166)",4,-1,None,27.0,32.0,False,
