archive,container,entry,family,category,screen,role,label,confidence,decoded,geometry_status,w,h,original_w,original_h,fmt,payload_size,payload_abs,note,decode_error
0,TEAMSHOPLOGO.ARC,Logo,team_logos,Driver & Team Art,Team Shop,Team logo,Team Shop logo · TEAMSHOPLOGO,likely,True,indexed,1024,256,1024,256,DXT5,262144,216,Correct native payload geometry mapped from the clean NASCAR 15 baseline.,
0,TEAMSHOPLOGO2.ARC,Logo,team_logos,Driver & Team Art,Team Shop,Team logo,Team Shop logo · TEAMSHOPLOGO2,likely,True,indexed,1024,256,1024,256,DXT5,262144,216,Correct native payload geometry mapped from the clean NASCAR 15 baseline.,
0,TRACKTESTING.ARC,lap_session_best_image001.tga,track_select,Track & Event Art,Track Select,Track presentation art,Track art · lap_session_best_image001.tga,likely,True,indexed,256,32,256,32,DXT5,8192,47304,Mapped from the clean NASCAR 15 baseline capture.,
0,TRACKTESTING.ARC,lap_times_image001.tga,track_select,Track & Event Art,Track Select,Track presentation art,Track art · lap_times_image001.tga,likely,True,indexed,256,32,256,32,DXT5,8192,55528,Mapped from the clean NASCAR 15 baseline capture.,
0,TRACKTESTING.ARC,rival_image001.tga,track_select,Track & Event Art,Track Select,Track presentation art,Track art · rival_image001.tga,likely,True,indexed,512,32,512,32,DXT1,32768,63752,Mapped from the clean NASCAR 15 baseline capture.,
0,TRACKTESTING.ARC,rival_image002.tga,track_select,Track & Event Art,Track Select,Track presentation art,Track art · rival_image002.tga,likely,True,indexed,512,32,512,32,DXT1,32768,96552,Mapped from the clean NASCAR 15 baseline capture.,
0,TRACKTESTING.ARC,messages_image001.tga,track_select,Track & Event Art,Track Select,Track presentation art,Track art · messages_image001.tga,likely,True,indexed,256,32,256,32,DXT5,8192,129352,Mapped from the clean NASCAR 15 baseline capture.,
0,TRACKTESTING.ARC,messages_image002.tga,track_select,Track & Event Art,Track Select,Track presentation art,Track art · messages_image002.tga,likely,True,indexed,256,32,256,32,DXT5,8192,137576,Mapped from the clean NASCAR 15 baseline capture.,
0,TRACKTESTING.ARC,brakeIndicator_image001.tga,track_select,Track & Event Art,Track Select,Track presentation art,Track art · brakeIndicator_image001.tga,likely,True,indexed,64,32,64,32,DXT5,4096,145800,Mapped from the clean NASCAR 15 baseline capture.,
0,TRACKTESTING.ARC,brakeIndicator_image002.tga,track_select,Track & Event Art,Track Select,Track presentation art,Track art · brakeIndicator_image002.tga,likely,False,unresolved,65,64,65,64,FMT_0x15,24576,149928,Mapped from the clean NASCAR 15 baseline capture.,Unsupported resource format FMT_0x15; raw export only
0,TRACKTESTING.ARC,brakeIndicator_image003.tga,track_select,Track & Event Art,Track Select,Track presentation art,Track art · brakeIndicator_image003.tga,likely,True,indexed,64,64,64,64,DXT5,8192,174536,Mapped from the clean NASCAR 15 baseline capture.,
0,TRACKTESTING.ARC,brakeIndicator_image004.tga,track_select,Track & Event Art,Track Select,Track presentation art,Track art · brakeIndicator_image004.tga,likely,False,unresolved,16,32,16,32,FMT_0x15,8192,182760,Mapped from the clean NASCAR 15 baseline capture.,Unsupported resource format FMT_0x15; raw export only
0,TRACKTESTING.ARC,brakeIndicator_image005.tga,track_select,Track & Event Art,Track Select,Track presentation art,Track art · brakeIndicator_image005.tga,likely,True,indexed,64,32,64,32,DXT5,4096,190984,Mapped from the clean NASCAR 15 baseline capture.,
0,TRACKTESTING.ARC,brakeIndicator_image006.tga,track_select,Track & Event Art,Track Select,Track presentation art,Track art · brakeIndicator_image006.tga,likely,False,unresolved,65,32,65,32,FMT_0x15,12288,195112,Mapped from the clean NASCAR 15 baseline capture.,Unsupported resource format FMT_0x15; raw export only
0,TRACKTESTING.ARC,brakeIndicator_image007.tga,track_select,Track & Event Art,Track Select,Track presentation art,Track art · brakeIndicator_image007.tga,likely,True,indexed,64,32,64,32,DXT5,4096,207432,Mapped from the clean NASCAR 15 baseline capture.,
0,TRACKTESTING.ARC,practice_image001.tga,track_select,Track & Event Art,Track Select,Track presentation art,Track art · practice_image001.tga,likely,True,indexed,256,32,256,32,DXT1,4096,211560,Mapped from the clean NASCAR 15 baseline capture.,
