archive,container,entry,family,w,h,fmt,payload_size,payload_abs,archive_entry_offset_hex,archive_entry_size,decoded,png_path,image_sha1,decode_error
0,TEAMSHOPLOGO.ARC,Logo,team_logos,1024,256,DXT5,262144,216,0xAAB6630,262398,1,,,
0,TEAMSHOPLOGO2.ARC,Logo,team_logos,1024,256,DXT5,262144,216,0xAAF6730,262398,1,,,
0,TRACKTESTING.ARC,lap_session_best_image001.tga,track_select,256,32,DXT5,8192,47304,0xB1C27A8,216754,1,,,
0,TRACKTESTING.ARC,lap_times_image001.tga,track_select,256,32,DXT5,8192,55528,0xB1C27A8,216754,1,,,
0,TRACKTESTING.ARC,rival_image001.tga,track_select,512,32,DXT1,32768,63752,0xB1C27A8,216754,1,,,
0,TRACKTESTING.ARC,rival_image002.tga,track_select,512,32,DXT1,32768,96552,0xB1C27A8,216754,1,,,
0,TRACKTESTING.ARC,messages_image001.tga,track_select,256,32,DXT5,8192,129352,0xB1C27A8,216754,1,,,
0,TRACKTESTING.ARC,messages_image002.tga,track_select,256,32,DXT5,8192,137576,0xB1C27A8,216754,1,,,
0,TRACKTESTING.ARC,brakeIndicator_image001.tga,track_select,64,32,DXT5,4096,145800,0xB1C27A8,216754,1,,,
0,TRACKTESTING.ARC,brakeIndicator_image002.tga,track_select,65,64,FMT_0x15,24576,149928,0xB1C27A8,216754,0,,,Unsupported resource format FMT_0x15; raw export only
0,TRACKTESTING.ARC,brakeIndicator_image003.tga,track_select,64,64,DXT5,8192,174536,0xB1C27A8,216754,1,,,
0,TRACKTESTING.ARC,brakeIndicator_image004.tga,track_select,16,32,FMT_0x15,8192,182760,0xB1C27A8,216754,0,,,Unsupported resource format FMT_0x15; raw export only
0,TRACKTESTING.ARC,brakeIndicator_image005.tga,track_select,64,32,DXT5,4096,190984,0xB1C27A8,216754,1,,,
0,TRACKTESTING.ARC,brakeIndicator_image006.tga,track_select,65,32,FMT_0x15,12288,195112,0xB1C27A8,216754,0,,,Unsupported resource format FMT_0x15; raw export only
0,TRACKTESTING.ARC,brakeIndicator_image007.tga,track_select,64,32,DXT5,4096,207432,0xB1C27A8,216754,1,,,
0,TRACKTESTING.ARC,practice_image001.tga,track_select,256,32,DXT1,4096,211560,0xB1C27A8,216754,1,,,
0,SPRINTNUMS2015.ARC,2015_MENARD,driver_number_cards,128,64,DXT1,4096,3192,0xB59F020,393866,1,,,
0,SPRINTNUMS2015.ARC,2015_WALLACE,driver_number_cards,128,64,DXT1,4096,7320,0xB59F020,393866,1,,,
0,SPRINTNUMS2015.ARC,2015_MCDOWELL,driver_number_cards,128,64,DXT1,4096,11448,0xB59F020,393866,1,,,
0,SPRINTNUMS2015.ARC,2015_LOGANO,driver_number_cards,128,64,DXT1,4096,15576,0xB59F020,393866,1,,,
0,SPRINTNUMS2015.ARC,2015_JOHNSON,driver_number_cards,128,64,DXT1,4096,19704,0xB59F020,393866,1,,,
0,SPRINTNUMS2015.ARC,2015_WISE,driver_number_cards,128,64,DXT1,4096,23832,0xB59F020,393866,1,,,
0,SPRINTNUMS2015.ARC,2015_BIFFLE,driver_number_cards,128,64,DXT1,4096,27960,0xB59F020,393866,1,,,
0,SPRINTNUMS2015.ARC,2015_WHITT,driver_number_cards,128,64,DXT1,4096,32088,0xB59F020,393866,1,,,
0,SPRINTNUMS2015.ARC,2015_ALMIROLA,driver_number_cards,128,64,DXT1,4096,36216,0xB59F020,393866,1,,,
0,SPRINTNUMS2015.ARC,2015_TRUEXMARTIN,driver_number_cards,128,64,DXT1,4096,40344,0xB59F020,393866,1,,,
0,SPRINTNUMS2015.ARC,2015_PATRICK,driver_number_cards,128,64,DXT1,4096,44472,0xB59F020,393866,1,,,
0,SPRINTNUMS2015.ARC,2015_DILLON,driver_number_cards,128,64,DXT1,4096,48600,0xB59F020,393866,1,,,
0,SPRINTNUMS2015.ARC,2015_MCMURRAY,driver_number_cards,128,64,DXT1,4096,52728,0xB59F020,393866,1,,,
0,SPRINTNUMS2015.ARC,2015_WALTRIP,driver_number_cards,128,64,DXT1,4096,56856,0xB59F020,393866,1,,,
0,SPRINTNUMS2015.ARC,2015_BUSCHKYLE,driver_number_cards,128,64,DXT1,4096,60984,0xB59F020,393866,1,,,
0,SPRINTNUMS2015.ARC,2015_BUSCHKURT,driver_number_cards,128,64,DXT1,4096,65112,0xB59F020,393866,1,,,
0,SPRINTNUMS2015.ARC,2015_VICKERS,driver_number_cards,128,64,DXT1,4096,69240,0xB59F020,393866,1,,,
0,SPRINTNUMS2015.ARC,2015_KESELOWSKI,driver_number_cards,128,64,DXT1,4096,73368,0xB59F020,393866,1,,,
0,SPRINTNUMS2015.ARC,2015_ANNETT,driver_number_cards,128,64,DXT1,4096,77496,0xB59F020,393866,1,,,
0,SPRINTNUMS2015.ARC,2015_EARNHARDT,driver_number_cards,128,64,DXT1,4096,81624,0xB59F020,393866,1,,,
0,SPRINTNUMS2015.ARC,2015_BAYNE,driver_number_cards,128,64,DXT1,4096,85752,0xB59F020,393866,1,,,
0,SPRINTNUMS2015.ARC,2015_BOWYER,driver_number_cards,128,64,DXT1,4096,89880,0xB59F020,393866,1,,,
0,SPRINTNUMS2015.ARC,2015_EDWARDS,driver_number_cards,128,64,DXT1,4096,94008,0xB59F020,393866,1,,,
